Session,Event-ID-VP1,Event-ID-VP2,Bedingung,Block,Runde im Block,Spieler 1,VP,Karte1 VP1,Karte2 VP1,Karte1 VP2,Karte2 VP2,Aktion,Zeit,time_utc_ns,event_timestamp_unix_ns,Gewinner,Punktestand VP1,Punktestand VP2
15,,,no_pay,0,1,VP1,,11,8,8,9,Session,15:24:25.115,1765985065115062000,1765985065115062000,,,
15,,b3e1ea59-4508-4116-a41b-11c812b2f80c,no_pay,0,1,VP1,VP2,11,8,8,9,Start,15:25:15.388,1765985115388315600,1765985115388315600,,,
15,63661908-4bde-48cb-a1b3-b70818ee9360,,no_pay,0,1,VP1,VP1,11,8,8,9,Start,15:25:17.497,1765985117497141900,1765985117497141900,,,
15,,,no_pay,0,1,VP1,,11,8,8,9,Fixation Flash,15:25:22.555,1765985122555919600,1765985122555919600,,,
15,,,no_pay,0,1,VP1,,11,8,8,9,Fixation Ton,15:25:22.860,1765985122860651100,1765985122860651100,,,
15,,d0dff48d-bb84-49cf-9670-4258cccabcb0,no_pay,0,1,VP1,VP2,11,8,8,9,Start,15:25:31.387,1765985131387947300,1765985131387947300,,,
15,1c5985fd-4152-46d7-a9ef-f8cad0a683ba,,no_pay,0,1,VP1,VP1,11,8,8,9,Start,15:25:32.024,1765985132024721100,1765985132024721100,,,
15,fa15c7e1-10ef-4495-8a23-f02b282aef3b,,no_pay,0,1,VP1,VP1,11,8,8,9,Karte 1,15:25:35.139,1765985135139237300,1765985135139237300,,,
15,,4ef0a434-b621-4cae-a799-49f4e833abb6,no_pay,0,1,VP1,VP2,11,8,8,9,Karte 1,15:25:36.759,1765985136759915600,1765985136759915600,,,
15,a3bcd085-5abd-4393-9fd0-7f22c4ff847b,,no_pay,0,1,VP1,VP1,11,8,8,9,Karte 2,15:25:38.082,1765985138082841000,1765985138082841000,,,
15,,f8876081-968e-46eb-81fb-17ebbf2520e6,no_pay,0,1,VP1,VP2,11,8,8,9,Karte 2,15:25:39.738,1765985139738411300,1765985139738411300,,,
15,17faba43-b3a1-4505-8dae-83e5cf6a37f2,,no_pay,0,1,VP1,VP1,11,8,8,9,Mittel,15:25:44.468,1765985144468267600,1765985144468267600,,,
15,,99cb1601-ead4-49ae-a0bc-25f88e03b29e,no_pay,0,1,VP1,VP2,11,8,8,9,Bluff,15:25:54.624,1765985154624828300,1765985154624828300,,,
15,,,no_pay,0,1,VP1,,11,8,8,9,Showdown,15:25:54.831,1765985154831078300,1765985154831078300,VP2,,
15,,b0f9284a-4a6f-4df7-9d05-99a243848f07,no_pay,0,1,VP1,VP2,11,8,8,9,Nächste Runde,15:25:59.220,1765985159220694000,1765985159220694000,,,
15,6a811491-5d7f-4adf-b33f-f313d709989e,,no_pay,0,1,VP1,VP1,11,8,8,9,Nächste Runde,15:25:59.818,1765985159818630700,1765985159818630700,,,
15,,21fadf13-d64e-4392-8ea4-d5c10c146a6e,no_pay,0,2,VP2,VP2,9,7,11,10,Karte 1,15:26:02.847,1765985162847058200,1765985162847058200,,,
15,06ff01dd-8197-4bd1-a469-81645cd68ec9,,no_pay,0,2,VP2,VP1,9,7,11,10,Karte 1,15:26:03.589,1765985163589276300,1765985163589276300,,,
15,,1e0456a9-c59b-4a42-8220-7a7885f49d6b,no_pay,0,2,VP2,VP2,9,7,11,10,Karte 2,15:26:04.758,1765985164758293900,1765985164758293900,,,
15,a2ebcc26-9647-4e04-b4f4-1c747e7ee927,,no_pay,0,2,VP2,VP1,9,7,11,10,Karte 2,15:26:06.152,1765985166152285800,1765985166152285800,,,
15,,6fde94a3-c8fb-4813-8ef6-fb24e8c82204,no_pay,0,2,VP2,VP2,9,7,11,10,Tief,15:26:09.885,1765985169885543100,1765985169885543100,,,
15,1d559c59-9642-4cc8-9f29-b969236dc005,,no_pay,0,2,VP2,VP1,9,7,11,10,Bluff,15:26:12.119,1765985172119074000,1765985172119074000,,,
15,,,no_pay,0,2,VP2,,9,7,11,10,Showdown,15:26:12.323,1765985172323145100,1765985172323145100,VP1,,
15,ce32ad88-9dc5-438a-a397-7598675eca34,,no_pay,0,2,VP2,VP1,9,7,11,10,Nächste Runde,15:26:17.689,1765985177689040000,1765985177689040000,,,
15,,2341a80c-1564-4674-802b-6dfe91a90734,no_pay,0,2,VP2,VP2,9,7,11,10,Nächste Runde,15:26:17.775,1765985177775235800,1765985177775235800,,,
15,2c32cff6-5d37-47e8-bb8f-c17145e453a3,,no_pay,0,3,VP1,VP1,10,11,8,7,Karte 1,15:26:18.821,1765985178821607400,1765985178821607400,,,
15,,2a96517c-bb8e-4359-951b-e6800e7f4f60,no_pay,0,3,VP1,VP2,10,11,8,7,Karte 1,15:26:21.404,1765985181404511600,1765985181404511600,,,
15,d485e2b6-fd07-4957-88f1-33a55b0391c4,,no_pay,0,3,VP1,VP1,10,11,8,7,Karte 2,15:26:22.041,1765985182041263500,1765985182041263500,,,
15,,d7aeac7e-2ecd-4fcc-a657-39c3fa0419b5,no_pay,0,3,VP1,VP2,10,11,8,7,Karte 2,15:26:23.104,1765985183104161100,1765985183104161100,,,
15,c0774cc8-1737-4658-afb5-1c9801ccac16,,no_pay,0,3,VP1,VP1,10,11,8,7,Mittel,15:26:25.951,1765985185951693700,1765985185951693700,,,
15,,323233be-5a40-4a8b-8c93-ac1d430e4f3f,no_pay,0,3,VP1,VP2,10,11,8,7,Wahrheit,15:26:33.127,1765985193127421300,1765985193127421300,,,
15,,,no_pay,0,3,VP1,,10,11,8,7,Showdown,15:26:33.326,1765985193326575000,1765985193326575000,VP1,,
15,28477b5d-6609-4c62-8b15-41aaecf2db5f,,no_pay,0,3,VP1,VP1,10,11,8,7,Nächste Runde,15:26:36.847,1765985196847898500,1765985196847898500,,,
15,,cd9fe6e8-f5a4-4a83-93dc-d39a49a7d894,no_pay,0,3,VP1,VP2,10,11,8,7,Nächste Runde,15:26:38.271,1765985198271683100,1765985198271683100,,,
15,,bf0319ac-b0f3-4310-8b0e-3a1ab958ff4b,no_pay,0,4,VP2,VP2,7,7,8,10,Karte 1,15:26:42.520,1765985202520708400,1765985202520708400,,,
15,9a737bcd-92f4-46a5-b019-24b03dc00b75,,no_pay,0,4,VP2,VP1,7,7,8,10,Karte 1,15:26:43.083,1765985203083369900,1765985203083369900,,,
15,,b70b90af-f6e1-413f-8ff8-bd9e7e56bcb4,no_pay,0,4,VP2,VP2,7,7,8,10,Karte 2,15:26:43.897,1765985203897847700,1765985203897847700,,,
15,d08c6412-0ad8-480a-8a9c-6df9fcc753ff,,no_pay,0,4,VP2,VP1,7,7,8,10,Karte 2,15:26:44.625,1765985204625868700,1765985204625868700,,,
15,,83363ca6-379e-443f-b5f0-8e0c080a4702,no_pay,0,4,VP2,VP2,7,7,8,10,Mittel,15:26:47.263,1765985207263348500,1765985207263348500,,,
15,c5ce1bd6-8a79-4e42-8670-d27dc79b3401,,no_pay,0,4,VP2,VP1,7,7,8,10,Bluff,15:26:49.750,1765985209750155300,1765985209750155300,,,
15,,,no_pay,0,4,VP2,,7,7,8,10,Showdown,15:26:49.953,1765985209953982300,1765985209953982300,VP2,,
15,e7df4fc7-f53a-4375-9862-ae6de770383a,,no_pay,0,4,VP2,VP1,7,7,8,10,Nächste Runde,15:26:53.763,1765985213763347200,1765985213763347200,,,
15,,7016f7f1-aa6c-430e-a7de-0586464f35e0,no_pay,0,4,VP2,VP2,7,7,8,10,Nächste Runde,15:26:53.897,1765985213897213600,1765985213897213600,,,
15,c63d1a78-fed9-4c53-82d4-ad7e7b2c365c,,no_pay,0,5,VP1,VP1,10,8,9,7,Karte 1,15:26:55.212,1765985215212569000,1765985215212569000,,,
15,,6954e92c-cc0a-4324-88b8-b7c2d4fd8f85,no_pay,0,5,VP1,VP2,10,8,9,7,Karte 1,15:26:56.804,1765985216804148300,1765985216804148300,,,
15,1005b37d-162c-4333-94e2-70898f367633,,no_pay,0,5,VP1,VP1,10,8,9,7,Karte 2,15:26:57.481,1765985217481778200,1765985217481778200,,,
15,,22aec41a-13a6-4c3b-8fee-d0f6a183be15,no_pay,0,5,VP1,VP2,10,8,9,7,Karte 2,15:26:58.584,1765985218584703800,1765985218584703800,,,
15,dbbfdcbb-8a75-4b66-a4de-2e8ee8937337,,no_pay,0,5,VP1,VP1,10,8,9,7,Mittel,15:26:59.955,1765985219955797000,1765985219955797000,,,
15,,1d746fec-d964-40b0-a823-0531aff3a757,no_pay,0,5,VP1,VP2,10,8,9,7,Bluff,15:27:10.046,1765985230046166900,1765985230046166900,,,
