Session,Event-ID-VP1,Event-ID-VP2,Bedingung,Block,Runde im Block,Spieler 1,VP,Karte1 VP1,Karte2 VP1,Karte1 VP2,Karte2 VP2,Aktion,Zeit,time_utc_ns,event_timestamp_unix_ns,Gewinner,Punktestand VP1,Punktestand VP2
9,,,no_pay,0,1,VP1,,11,8,8,9,Session,14:27:21.158,1765636041158555600,1765636041158555600,,,
9,fb5f6607-d58f-416c-a1b6-49231fdfa286,,no_pay,0,1,VP1,VP1,11,8,8,9,Start,14:27:24.065,1765636044065751100,1765636044065751100,,,
9,,583919a2-bb49-47a8-bc0b-1e582acf7cbc,no_pay,0,1,VP1,VP2,11,8,8,9,Start,14:27:25.718,1765636045718950800,1765636045718950800,,,
9,,,no_pay,0,1,VP1,,11,8,8,9,Fixation Flash,14:27:30.785,1765636050785586800,1765636050785586800,,,
9,,,no_pay,0,1,VP1,,11,8,8,9,Fixation Ton,14:27:31.097,1765636051097403100,1765636051097403100,,,
9,874d95e2-3d85-4351-8b0e-4ec2ee90add2,,no_pay,0,1,VP1,VP1,11,8,8,9,Start,14:27:44.545,1765636064545564000,1765636064545564000,,,
9,,b4aae4d8-667e-4986-97b3-ee6039726599,no_pay,0,1,VP1,VP2,11,8,8,9,Start,14:27:45.854,1765636065854191300,1765636065854191300,,,
9,1931a714-2487-4961-9c29-653518046b95,,no_pay,0,1,VP1,VP1,11,8,8,9,Karte 1,14:27:46.953,1765636066953854000,1765636066953854000,,,
9,,c24d3d95-2f43-48a9-8367-3bad46028a89,no_pay,0,1,VP1,VP2,11,8,8,9,Karte 1,14:27:48.376,1765636068376391800,1765636068376391800,,,
9,4266dab6-02ba-43d0-a736-68dc26178df9,,no_pay,0,1,VP1,VP1,11,8,8,9,Karte 2,14:27:49.738,1765636069738969700,1765636069738969700,,,
9,,1874fc8c-fa02-4c2e-8c41-a7d3362557ab,no_pay,0,1,VP1,VP2,11,8,8,9,Karte 2,14:27:50.584,1765636070584176100,1765636070584176100,,,
9,91ea5e08-63d5-4048-9989-e6724d29c86a,,no_pay,0,1,VP1,VP1,11,8,8,9,Hoch,14:27:52.411,1765636072411711200,1765636072411711200,,,
9,,6120268e-8533-42f0-818d-e47cd455bcdf,no_pay,0,1,VP1,VP2,11,8,8,9,Wahrheit,14:27:56.049,1765636076049241600,1765636076049241600,,,
9,,,no_pay,0,1,VP1,,11,8,8,9,Showdown,14:27:56.245,1765636076245919300,1765636076245919300,VP1,,
9,dcb51e87-cc0a-461c-a720-2554945e8fc3,,no_pay,0,1,VP1,VP1,11,8,8,9,Nächste Runde,14:28:14.707,1765636094707742700,1765636094707742700,,,
9,,33a7485c-7158-4cc6-9a11-b9c498bc116e,no_pay,0,1,VP1,VP2,11,8,8,9,Nächste Runde,14:28:15.988,1765636095988102200,1765636095988102200,,,
9,,716d4c24-bb97-4d97-bcd6-1f857a1f76ae,no_pay,0,2,VP2,VP2,9,7,11,10,Karte 1,14:28:18.195,1765636098195371300,1765636098195371300,,,
9,eb116aeb-34cc-4bb8-b7e6-5e328ddc28b0,,no_pay,0,2,VP2,VP1,9,7,11,10,Karte 1,14:28:19.101,1765636099101744300,1765636099101744300,,,
9,,9a1f8d15-d2dc-4db9-bdef-18855bc95c4a,no_pay,0,2,VP2,VP2,9,7,11,10,Karte 2,14:28:19.961,1765636099961245400,1765636099961245400,,,
9,2203c6be-53c9-4252-adbc-2f6cf2321423,,no_pay,0,2,VP2,VP1,9,7,11,10,Karte 2,14:28:21.675,1765636101675191000,1765636101675191000,,,
9,,83e9ba0a-5624-4cb7-aa30-665676f5077e,no_pay,0,2,VP2,VP2,9,7,11,10,Mittel,14:28:25.997,1765636105997469600,1765636105997469600,,,
