Session,Event-ID-VP1,Event-ID-VP2,Bedingung,Block,Runde im Block,Spieler 1,VP,Karte1 VP1,Karte2 VP1,Karte1 VP2,Karte2 VP2,Aktion,Zeit,time_utc_ns,event_timestamp_unix_ns,Gewinner,Punktestand VP1,Punktestand VP2
7,,,no_pay,0,1,VP1,,11,8,8,9,Session,08:17:55.901,1765441075901037100,1765441075901037100,,,
7,9a9690c8-69ce-48be-a5a8-519b3a653617,,no_pay,0,1,VP1,VP1,11,8,8,9,Start,08:18:00.238,1765441080238113300,1765441080238113300,,,
7,,2efac5a5-3487-410d-a2cf-ee0e404f67fb,no_pay,0,1,VP1,VP2,11,8,8,9,Start,08:18:04.997,1765441084997811700,1765441084997811700,,,
7,,,no_pay,0,1,VP1,,11,8,8,9,Fixation Flash,08:18:10.067,1765441090067046500,1765441090067046500,,,
7,,,no_pay,0,1,VP1,,11,8,8,9,Fixation Ton,08:18:10.282,1765441090282307900,1765441090282307900,,,
7,202e1f4e-c564-42df-853a-7a176aac01f6,,no_pay,0,1,VP1,VP1,11,8,8,9,Start,08:18:26.870,1765441106870666300,1765441106870666300,,,
7,,cd2622a2-bc21-4a3d-910d-1d2f34a32cab,no_pay,0,1,VP1,VP2,11,8,8,9,Start,08:18:30.267,1765441110267646900,1765441110267646900,,,
7,fdcb6968-54b3-457d-bf13-3e47d43134f2,,no_pay,0,1,VP1,VP1,11,8,8,9,Karte 1,08:18:31.175,1765441111175084800,1765441111175084800,,,
7,,7c4cbcda-bfc0-4f48-b395-c8e06c937ffd,no_pay,0,1,VP1,VP2,11,8,8,9,Karte 1,08:18:32.749,1765441112749076200,1765441112749076200,,,
7,81eb7224-6ca1-4b77-aea9-bb6b2b2d0120,,no_pay,0,1,VP1,VP1,11,8,8,9,Karte 2,08:18:33.788,1765441113788972000,1765441113788972000,,,
7,,1b002644-2499-4924-879d-b6b310c89ca5,no_pay,0,1,VP1,VP2,11,8,8,9,Karte 2,08:18:34.714,1765441114714874000,1765441114714874000,,,
7,15ca937c-8bb8-4f81-92c6-1026544a1d2a,,no_pay,0,1,VP1,VP1,11,8,8,9,Hoch,08:18:35.973,1765441115973838600,1765441115973838600,,,
7,,da1f8788-1180-4bb2-95d7-a4d50553797a,no_pay,0,1,VP1,VP2,11,8,8,9,Wahrheit,08:18:38.238,1765441118238705600,1765441118238705600,,,
7,,,no_pay,0,1,VP1,,11,8,8,9,Showdown,08:18:38.435,1765441118435485400,1765441118435485400,VP1,,
7,58f51473-d23e-468f-b0f6-868c01421f22,,no_pay,0,1,VP1,VP1,11,8,8,9,Nächste Runde,08:18:41.907,1765441121907824600,1765441121907824600,,,
7,,72bfdb58-b6b2-4984-a1fd-567ce53132f8,no_pay,0,1,VP1,VP2,11,8,8,9,Nächste Runde,08:18:45.689,1765441125689436200,1765441125689436200,,,
7,,4ff93449-88c1-44b5-a600-d2fd136782ee,no_pay,0,2,VP2,VP2,9,7,11,10,Karte 1,08:18:49.196,1765441129196337100,1765441129196337100,,,
7,dd1aacd1-1cfc-4511-a943-e5d7a816557c,,no_pay,0,2,VP2,VP1,9,7,11,10,Karte 1,08:18:51.289,1765441131289309300,1765441131289309300,,,
7,,9ef11714-09e5-42ee-9411-260edf635202,no_pay,0,2,VP2,VP2,9,7,11,10,Karte 2,08:18:52.298,1765441132298019800,1765441132298019800,,,
7,50e97b82-10bd-4e1a-b0fa-ee0e233abf45,,no_pay,0,2,VP2,VP1,9,7,11,10,Karte 2,08:18:54.018,1765441134018575500,1765441134018575500,,,
7,,fe6c3ae8-c537-4cc8-8fcb-03ed36a959c2,no_pay,0,2,VP2,VP2,9,7,11,10,Mittel,08:18:57.451,1765441137451677700,1765441137451677700,,,
7,e38af41e-4082-4d8c-b3d9-366c658e13c5,,no_pay,0,2,VP2,VP1,9,7,11,10,Wahrheit,08:19:03.173,1765441143173846000,1765441143173846000,,,
7,,,no_pay,0,2,VP2,,9,7,11,10,Showdown,08:19:03.370,1765441143370469900,1765441143370469900,VP2,,
7,d3f0c652-0ba5-4f75-95ea-a4329226f5e8,,no_pay,0,2,VP2,VP1,9,7,11,10,Nächste Runde,08:19:08.113,1765441148113824300,1765441148113824300,,,
7,,7a08c41a-82ec-41d3-adf7-5912cd38974e,no_pay,0,2,VP2,VP2,9,7,11,10,Nächste Runde,08:19:09.068,1765441149068960700,1765441149068960700,,,
7,d3d4de14-52b6-46b8-8557-37bf69cfe478,,no_pay,0,3,VP1,VP1,10,11,8,7,Karte 1,08:19:10.092,1765441150092125800,1765441150092125800,,,
7,,df5dfe1f-3e99-461f-bde3-7a8b51453f2b,no_pay,0,3,VP1,VP2,10,11,8,7,Karte 1,08:19:11.261,1765441151261643700,1765441151261643700,,,
7,9185b718-a1e0-45fa-81ac-3c6c1f7e734f,,no_pay,0,3,VP1,VP1,10,11,8,7,Karte 2,08:19:12.139,1765441152139657900,1765441152139657900,,,
7,,c875ce88-1030-4f62-8ac7-293ce58f4a01,no_pay,0,3,VP1,VP2,10,11,8,7,Karte 2,08:19:12.792,1765441152792007700,1765441152792007700,,,
7,992cbf7f-366d-42c8-b628-18ea99e53144,,no_pay,0,3,VP1,VP1,10,11,8,7,Tief,08:19:14.227,1765441154227886700,1765441154227886700,,,
7,,7b79829b-c4a1-462e-9461-99ff19f8d503,no_pay,0,3,VP1,VP2,10,11,8,7,Wahrheit,08:19:17.652,1765441157652819400,1765441157652819400,,,
7,,,no_pay,0,3,VP1,,10,11,8,7,Showdown,08:19:17.854,1765441157854152700,1765441157854152700,VP1,,
7,d0cbd6e5-8970-4ca1-b118-fba8cf6d1138,,no_pay,0,3,VP1,VP1,10,11,8,7,Nächste Runde,08:19:18.892,1765441158892171900,1765441158892171900,,,
7,,f4f794ca-783f-4f19-b172-5bcdc7b9011a,no_pay,0,3,VP1,VP2,10,11,8,7,Nächste Runde,08:19:19.745,1765441159745144700,1765441159745144700,,,
7,,e2ba1304-168c-4a38-a312-5372d4fa1cb5,no_pay,0,4,VP2,VP2,7,7,8,10,Karte 1,08:19:21.691,1765441161691035500,1765441161691035500,,,
