Session,Event-ID-VP1,Event-ID-VP2,Bedingung,Block,Runde im Block,Spieler 1,VP,Karte1 VP1,Karte2 VP1,Karte1 VP2,Karte2 VP2,Aktion,Zeit,time_utc_ns,event_timestamp_unix_ns,Gewinner,Punktestand VP1,Punktestand VP2
4,,,no_pay,0,1,VP1,,11,8,8,9,Session,15:10:54.674,1765293054674613600,1765293054674613600,,,
4,235185d7-8a24-4e0a-9878-49251637ea5c,,no_pay,0,1,VP1,VP1,11,8,8,9,Start,15:10:59.036,1765293059036964000,1765293059036964000,,,
4,,47a65fdf-c428-4e30-8bef-e13ec9463545,no_pay,0,1,VP1,VP2,11,8,8,9,Start,15:10:59.172,1765293059172229700,1765293059172229700,,,
4,,,no_pay,0,1,VP1,,11,8,8,9,Fixation Flash,15:11:04.330,1765293064330664900,1765293064330664900,,,
4,,,no_pay,0,1,VP1,,11,8,8,9,Fixation Ton,15:11:04.776,1765293064776413700,1765293064776413700,,,
4,4e2aa3d1-39a2-4759-ab9e-618360eeef6d,,no_pay,0,1,VP1,VP1,11,8,8,9,Start,15:11:13.322,1765293073322054400,1765293073322054400,,,
4,,b57a10e5-4743-47dc-99ae-1fe2b8e3f31c,no_pay,0,1,VP1,VP2,11,8,8,9,Start,15:11:13.858,1765293073858198600,1765293073858198600,,,
4,011682c0-918c-4a17-8f51-f5c8d8dbb163,,no_pay,0,1,VP1,VP1,11,8,8,9,Karte 1,15:11:24.043,1765293084043959500,1765293084043959500,,,
4,,51287cd4-cdd6-4d76-9831-5c545be4db48,no_pay,0,1,VP1,VP2,11,8,8,9,Karte 1,15:11:25.966,1765293085966793100,1765293085966793100,,,
4,2cd1ffd7-b264-46cf-adf3-18f24676244c,,no_pay,0,1,VP1,VP1,11,8,8,9,Karte 2,15:11:29.107,1765293089107768200,1765293089107768200,,,
4,,45fc53a3-1250-4a95-9658-644e3cddf175,no_pay,0,1,VP1,VP2,11,8,8,9,Karte 2,15:11:30.928,1765293090928046100,1765293090928046100,,,
4,5cccdea0-66b6-428c-b8ee-a4c4d3b1ba84,,no_pay,0,1,VP1,VP1,11,8,8,9,Hoch,15:11:34.081,1765293094081477100,1765293094081477100,,,
4,,1a6badf8-ff6a-4625-9ef0-4a32e96a7400,no_pay,0,1,VP1,VP2,11,8,8,9,Bluff,15:11:36.855,1765293096855369200,1765293096855369200,,,
4,,,no_pay,0,1,VP1,,11,8,8,9,Showdown,15:11:37.054,1765293097054710400,1765293097054710400,VP1,,
4,3c40b465-2a4e-472b-a385-5c84ad903585,,no_pay,0,1,VP1,VP1,11,8,8,9,Nächste Runde,15:11:40.471,1765293100471547300,1765293100471547300,,,
4,,e1fbb294-7f9d-43a4-9e51-4dc1bb7da03d,no_pay,0,1,VP1,VP2,11,8,8,9,Nächste Runde,15:11:44.167,1765293104167304800,1765293104167304800,,,
4,,7a3ce196-1569-441f-90c1-f386e7ede25a,no_pay,0,2,VP2,VP2,9,7,11,10,Karte 1,15:11:50.492,1765293110492567300,1765293110492567300,,,
4,adf42b94-fa99-4313-8d25-30459e151ed3,,no_pay,0,2,VP2,VP1,9,7,11,10,Karte 1,15:11:52.040,1765293112040062300,1765293112040062300,,,
4,,a98f3c1e-9f87-4d41-9947-0be10f57c73d,no_pay,0,2,VP2,VP2,9,7,11,10,Karte 2,15:11:54.204,1765293114204431800,1765293114204431800,,,
4,45b5ecce-31ff-444a-bc5d-ea23889a1496,,no_pay,0,2,VP2,VP1,9,7,11,10,Karte 2,15:11:55.794,1765293115794651000,1765293115794651000,,,
4,,006c24d8-2d2a-4c42-8811-4b293d8d1fe1,no_pay,0,2,VP2,VP2,9,7,11,10,Hoch,15:12:04.603,1765293124603290900,1765293124603290900,,,
