Session,Event-ID-VP1,Event-ID-VP2,Bedingung,Block,Runde im Block,Spieler 1,VP,Karte1 VP1,Karte2 VP1,Karte1 VP2,Karte2 VP2,Aktion,Zeit,time_utc_ns,event_timestamp_unix_ns,Gewinner,Punktestand VP1,Punktestand VP2
5,,,no_pay,0,1,VP1,,11,8,8,9,Session,11:27:33.900,1765366053900014100,1765366053900014100,,,
5,,50223b20-cb07-42a1-a192-a8b350bc06a8,no_pay,0,1,VP1,VP2,11,8,8,9,Start,11:27:44.812,1765366064812507600,1765366064812507600,,,
5,e684df86-5d80-4f2b-a964-984e7a9f40b4,,no_pay,0,1,VP1,VP1,11,8,8,9,Start,11:27:46.305,1765366066305954600,1765366066305954600,,,
5,,,no_pay,0,1,VP1,,11,8,8,9,Fixation Flash,11:27:51.364,1765366071364227600,1765366071364227600,,,
5,,,no_pay,0,1,VP1,,11,8,8,9,Fixation Ton,11:27:51.663,1765366071663734700,1765366071663734700,,,
5,,12c3faff-2832-47fa-8e62-7b277a2a3e22,no_pay,0,1,VP1,VP2,11,8,8,9,Start,11:27:58.119,1765366078119960500,1765366078119960500,,,
5,25823da8-4acf-453e-a0f5-453c04853a8d,,no_pay,0,1,VP1,VP1,11,8,8,9,Start,11:27:58.711,1765366078711024400,1765366078711024400,,,
5,2de3c6da-877b-4407-9cc1-e7a3e8707c59,,no_pay,0,1,VP1,VP1,11,8,8,9,Karte 1,11:28:00.050,1765366080050399300,1765366080050399300,,,
5,,ecd541ba-41df-4602-9c81-9a6e0a21dd21,no_pay,0,1,VP1,VP2,11,8,8,9,Karte 1,11:28:00.738,1765366080738314500,1765366080738314500,,,
5,1cdb244e-5108-4a3b-8857-5e7c7b2f501f,,no_pay,0,1,VP1,VP1,11,8,8,9,Karte 2,11:28:01.722,1765366081722747000,1765366081722747000,,,
5,,06fb88a4-e49a-48b4-a765-caa9c16da1ed,no_pay,0,1,VP1,VP2,11,8,8,9,Karte 2,11:28:02.304,1765366082304415500,1765366082304415500,,,
5,8bb5d40d-7b55-443e-a489-fe0ea69e5a44,,no_pay,0,1,VP1,VP1,11,8,8,9,Hoch,11:28:03.286,1765366083286086400,1765366083286086400,,,
5,,76d47df9-3f6a-4c8c-a8fb-45de1251acfc,no_pay,0,1,VP1,VP2,11,8,8,9,Wahrheit,11:28:06.765,1765366086765317100,1765366086765317100,,,
5,,,no_pay,0,1,VP1,,11,8,8,9,Showdown,11:28:06.966,1765366086966489600,1765366086966489600,VP1,,
5,4e335dd8-93fe-420a-b3ee-aabfa9de220c,,no_pay,0,1,VP1,VP1,11,8,8,9,Nächste Runde,11:28:10.925,1765366090925953700,1765366090925953700,,,
5,,efc56d74-549a-4c3e-8681-17a9dd116994,no_pay,0,1,VP1,VP2,11,8,8,9,Nächste Runde,11:28:11.203,1765366091203472000,1765366091203472000,,,
5,,346d3b36-258a-474d-b0b0-c2e213b1ba7e,no_pay,0,2,VP2,VP2,9,7,11,10,Karte 1,11:28:12.717,1765366092717795300,1765366092717795300,,,
5,07566419-2021-4b02-b405-3cc80df1a254,,no_pay,0,2,VP2,VP1,9,7,11,10,Karte 1,11:28:14.184,1765366094184717000,1765366094184717000,,,
5,,76d11de3-317d-499d-b1b2-3bb620fe255d,no_pay,0,2,VP2,VP2,9,7,11,10,Karte 2,11:28:14.751,1765366094751620000,1765366094751620000,,,
5,dde36c70-0ad7-4d36-a783-a8495f1141c9,,no_pay,0,2,VP2,VP1,9,7,11,10,Karte 2,11:28:16.090,1765366096090828700,1765366096090828700,,,
5,,0bd1c23d-c28f-44a3-9545-408ce373787e,no_pay,0,2,VP2,VP2,9,7,11,10,Mittel,11:28:18.022,1765366098022432600,1765366098022432600,,,
5,1beb2cbe-18c8-4df4-88fb-957f0a098a35,,no_pay,0,2,VP2,VP1,9,7,11,10,Wahrheit,11:28:20.981,1765366100981008800,1765366100981008800,,,
5,,,no_pay,0,2,VP2,,9,7,11,10,Showdown,11:28:21.183,1765366101183545300,1765366101183545300,VP2,,
5,,75c55e3d-d5e9-49ed-881d-7bb1e70c259c,no_pay,0,2,VP2,VP2,9,7,11,10,Nächste Runde,11:28:23.693,1765366103693455600,1765366103693455600,,,
5,ca4ebcac-78d1-459f-854c-613c86683e38,,no_pay,0,2,VP2,VP1,9,7,11,10,Nächste Runde,11:28:30.499,1765366110499982400,1765366110499982400,,,
5,ed7673f2-cfb4-44f8-af8a-760993ab6a46,,no_pay,0,3,VP1,VP1,10,11,8,7,Karte 1,11:28:31.722,1765366111722626300,1765366111722626300,,,
5,,b21c0fce-2dd1-454f-96ba-70248a7891ab,no_pay,0,3,VP1,VP2,10,11,8,7,Karte 1,11:28:33.414,1765366113414420900,1765366113414420900,,,
5,6fefdc27-d216-446a-8410-bba70502ea73,,no_pay,0,3,VP1,VP1,10,11,8,7,Karte 2,11:28:34.817,1765366114817754200,1765366114817754200,,,
5,,8603ff76-caa8-4967-88f1-7e54320bcdc9,no_pay,0,3,VP1,VP2,10,11,8,7,Karte 2,11:28:35.466,1765366115466289700,1765366115466289700,,,
5,8ab6dff4-fc61-49e6-a213-aabb5ecc6b9a,,no_pay,0,3,VP1,VP1,10,11,8,7,Mittel,11:28:40.005,1765366120005689600,1765366120005689600,,,
5,,d4715f52-d17f-429f-a344-42c6321a2a74,no_pay,0,3,VP1,VP2,10,11,8,7,Wahrheit,11:28:44.184,1765366124184579300,1765366124184579300,,,
5,,,no_pay,0,3,VP1,,10,11,8,7,Showdown,11:28:44.385,1765366124385598100,1765366124385598100,VP1,,
5,,2978c77a-32a7-4cfe-a5ad-348b3374f642,no_pay,0,3,VP1,VP2,10,11,8,7,Nächste Runde,11:28:49.862,1765366129862044100,1765366129862044100,,,
5,8183ef1e-e0dd-4dbd-9439-fdb0d86758d6,,no_pay,0,3,VP1,VP1,10,11,8,7,Nächste Runde,11:28:53.735,1765366133735451600,1765366133735451600,,,
5,,450d5a8a-9ce4-42a0-8e02-920b3884b019,no_pay,0,4,VP2,VP2,7,7,8,10,Karte 1,11:29:01.681,1765366141681905900,1765366141681905900,,,
5,de3d8df0-cd68-4867-9106-77b435f64ec1,,no_pay,0,4,VP2,VP1,7,7,8,10,Karte 1,11:29:02.881,1765366142881317500,1765366142881317500,,,
5,,561adad6-a996-471a-a91e-1716ed88d7fe,no_pay,0,4,VP2,VP2,7,7,8,10,Karte 2,11:29:03.770,1765366143770444700,1765366143770444700,,,
5,594faf46-d721-4fa4-bb64-8e4c7b708605,,no_pay,0,4,VP2,VP1,7,7,8,10,Karte 2,11:29:05.078,1765366145078806900,1765366145078806900,,,
5,,32405d93-0701-4fd6-97c5-9a947bd26a8b,no_pay,0,4,VP2,VP2,7,7,8,10,Mittel,11:29:07.221,1765366147221352700,1765366147221352700,,,
5,7307e82d-8579-42c0-ad63-2d2837c293ba,,no_pay,0,4,VP2,VP1,7,7,8,10,Wahrheit,11:29:12.432,1765366152432405200,1765366152432405200,,,
5,,,no_pay,0,4,VP2,,7,7,8,10,Showdown,11:29:12.631,1765366152631851100,1765366152631851100,VP2,,
5,15bf1a18-43bd-41b8-8039-d2321d857700,,no_pay,0,4,VP2,VP1,7,7,8,10,Nächste Runde,11:29:22.180,1765366162180565600,1765366162180565600,,,
5,,dc7f172d-223f-48e0-9375-8149a05331a8,no_pay,0,4,VP2,VP2,7,7,8,10,Nächste Runde,11:29:22.403,1765366162403987000,1765366162403987000,,,
5,cddf49b1-a8d9-4f5a-a7d0-ffc4c92b76de,,no_pay,0,5,VP1,VP1,10,8,9,7,Karte 1,11:29:24.911,1765366164911174000,1765366164911174000,,,
