Session,Event-ID-VP1,Event-ID-VP2,Bedingung,Block,Runde im Block,Spieler 1,VP,Karte1 VP1,Karte2 VP1,Karte1 VP2,Karte2 VP2,Aktion,Zeit,time_utc_ns,event_timestamp_unix_ns,Gewinner,Punktestand VP1,Punktestand VP2
14,,,no_pay,0,1,VP1,,11,8,8,9,Session,13:16:36.861,1765977396861490500,1765977396861490500,,,
14,,cd2c1e76-d152-43cf-8741-41473a8aedd1,no_pay,0,1,VP1,VP2,11,8,8,9,Start,13:17:22.314,1765977442314249800,1765977442314249800,,,
14,fadb557d-32c7-4046-80b0-29ddaa47d521,,no_pay,0,1,VP1,VP1,11,8,8,9,Start,13:17:23.097,1765977443097368800,1765977443097368800,,,
14,,,no_pay,0,1,VP1,,11,8,8,9,Fixation Flash,13:17:28.159,1765977448159751400,1765977448159751400,,,
14,,,no_pay,0,1,VP1,,11,8,8,9,Fixation Ton,13:17:28.474,1765977448474436600,1765977448474436600,,,
14,3144bc40-19f5-42ca-8e8b-2b694e4d6ec6,,no_pay,0,1,VP1,VP1,11,8,8,9,Start,13:17:41.538,1765977461538691700,1765977461538691700,,,
14,,238d3f9b-24e3-4856-9328-a60200a5a854,no_pay,0,1,VP1,VP2,11,8,8,9,Start,13:17:43.763,1765977463763116400,1765977463763116400,,,
14,645a4aba-0f1d-4b5d-9138-9bde518286c5,,no_pay,0,1,VP1,VP1,11,8,8,9,Karte 1,13:17:45.065,1765977465065413500,1765977465065413500,,,
14,,8af46224-22c3-47d3-8ee7-d07ade1aef7a,no_pay,0,1,VP1,VP2,11,8,8,9,Karte 1,13:17:47.282,1765977467282302800,1765977467282302800,,,
14,01acb9c9-6eda-4878-b485-69f14b066ad9,,no_pay,0,1,VP1,VP1,11,8,8,9,Karte 2,13:17:49.784,1765977469784679600,1765977469784679600,,,
14,,145d3730-6bb3-47ba-b720-ced2b3a6d7be,no_pay,0,1,VP1,VP2,11,8,8,9,Karte 2,13:17:51.545,1765977471545133100,1765977471545133100,,,
14,1dce3c82-844d-467f-99d0-560f8afc634e,,no_pay,0,1,VP1,VP1,11,8,8,9,Tief,13:17:58.670,1765977478670374700,1765977478670374700,,,
14,,a5629c50-9a64-4cfd-96f5-7f0b57f1b262,no_pay,0,1,VP1,VP2,11,8,8,9,Bluff,13:18:08.371,1765977488371510600,1765977488371510600,,,
14,,,no_pay,0,1,VP1,,11,8,8,9,Showdown,13:18:08.568,1765977488568537200,1765977488568537200,VP2,,
14,e77f1a05-f78c-425e-b1a5-5a8c080ca60c,,no_pay,0,1,VP1,VP1,11,8,8,9,Nächste Runde,13:18:15.714,1765977495714480100,1765977495714480100,,,
14,,89541024-b71d-4200-9592-6b62245a2157,no_pay,0,1,VP1,VP2,11,8,8,9,Nächste Runde,13:18:17.658,1765977497658728200,1765977497658728200,,,
14,,69c5863a-8f76-4d3e-9209-4f530e24c8fe,no_pay,0,2,VP2,VP2,9,7,11,10,Karte 1,13:18:22.791,1765977502791326400,1765977502791326400,,,
14,b2169ad6-26f5-4b58-a281-baae0ccf87d0,,no_pay,0,2,VP2,VP1,9,7,11,10,Karte 1,13:18:34.366,1765977514366980000,1765977514366980000,,,
14,,17729107-842b-4d89-9c45-f3699ebfa9ae,no_pay,0,2,VP2,VP2,9,7,11,10,Karte 2,13:18:35.996,1765977515996471500,1765977515996471500,,,
14,3db70c73-78c5-4a7a-acf0-1e1805724ec4,,no_pay,0,2,VP2,VP1,9,7,11,10,Karte 2,13:18:36.777,1765977516777634100,1765977516777634100,,,
14,,a4815d34-6fda-4606-9d48-c6a69b127d71,no_pay,0,2,VP2,VP2,9,7,11,10,Mittel,13:18:39.425,1765977519425294600,1765977519425294600,,,
14,1ceacfe5-3b24-4e01-be3c-98aab6894f40,,no_pay,0,2,VP2,VP1,9,7,11,10,Bluff,13:18:43.993,1765977523993010100,1765977523993010100,,,
14,,,no_pay,0,2,VP2,,9,7,11,10,Showdown,13:18:44.193,1765977524193632600,1765977524193632600,VP1,,
14,,2e7447b8-02b1-47b0-bebe-0d7b9d834afa,no_pay,0,2,VP2,VP2,9,7,11,10,Nächste Runde,13:18:49.956,1765977529956530600,1765977529956530600,,,
14,abf322a3-0b40-4995-a86f-6cf6e3f594b7,,no_pay,0,2,VP2,VP1,9,7,11,10,Nächste Runde,13:18:50.814,1765977530814180200,1765977530814180200,,,
14,5fc88968-1a7d-4e8a-aded-543c9c3b6686,,no_pay,0,3,VP1,VP1,10,11,8,7,Karte 1,13:18:52.430,1765977532430040300,1765977532430040300,,,
14,,5b760b52-f330-43bc-a798-1c0e70e040e8,no_pay,0,3,VP1,VP2,10,11,8,7,Karte 1,13:18:53.169,1765977533169067600,1765977533169067600,,,
14,20e1d08b-0d77-44b5-9494-5357a0427203,,no_pay,0,3,VP1,VP1,10,11,8,7,Karte 2,13:18:57.263,1765977537263474700,1765977537263474700,,,
14,,7913c91a-1693-49b3-a814-fbbf9efdeae0,no_pay,0,3,VP1,VP2,10,11,8,7,Karte 2,13:18:58.392,1765977538392578300,1765977538392578300,,,
14,2b87d6c2-1271-4007-a98b-7139f0052d4f,,no_pay,0,3,VP1,VP1,10,11,8,7,Hoch,13:19:05.807,1765977545807507800,1765977545807507800,,,
14,,65d24198-d277-418e-bf34-502cbd1bab44,no_pay,0,3,VP1,VP2,10,11,8,7,Wahrheit,13:19:08.189,1765977548189989600,1765977548189989600,,,
14,,,no_pay,0,3,VP1,,10,11,8,7,Showdown,13:19:08.391,1765977548391320800,1765977548391320800,VP1,,
14,1c3d1b82-7880-4042-8041-279b8cdde519,,no_pay,0,3,VP1,VP1,10,11,8,7,Nächste Runde,13:19:11.807,1765977551807242300,1765977551807242300,,,
14,,ea28f220-11f2-4784-973e-02d1384113d1,no_pay,0,3,VP1,VP2,10,11,8,7,Nächste Runde,13:19:12.976,1765977552976208800,1765977552976208800,,,
14,,748b2aee-e108-497c-b70e-8176fd326eb2,no_pay,0,4,VP2,VP2,7,7,8,10,Karte 1,13:19:14.731,1765977554731406700,1765977554731406700,,,
14,cd3b5aa8-759c-4697-b853-8651634d8f8f,,no_pay,0,4,VP2,VP1,7,7,8,10,Karte 1,13:19:16.854,1765977556854782800,1765977556854782800,,,
14,,9cdd8078-81d4-4b1b-9cbc-18f942471839,no_pay,0,4,VP2,VP2,7,7,8,10,Karte 2,13:19:17.353,1765977557353694700,1765977557353694700,,,
14,f7ac55af-ae6f-4440-aeaa-1825f86ef7fe,,no_pay,0,4,VP2,VP1,7,7,8,10,Karte 2,13:19:19.838,1765977559838405600,1765977559838405600,,,
14,,2d9a9ad0-8a2c-400a-8f04-59a6cd336c14,no_pay,0,4,VP2,VP2,7,7,8,10,Mittel,13:19:20.831,1765977560831605600,1765977560831605600,,,
14,47937877-89b5-4239-a33b-9c8c9066a0a0,,no_pay,0,4,VP2,VP1,7,7,8,10,Wahrheit,13:19:25.418,1765977565418342100,1765977565418342100,,,
14,,,no_pay,0,4,VP2,,7,7,8,10,Showdown,13:19:25.619,1765977565619651700,1765977565619651700,VP2,,
14,,c9333e9b-7603-4399-b059-ec483dd2d671,no_pay,0,4,VP2,VP2,7,7,8,10,Nächste Runde,13:19:29.575,1765977569575689500,1765977569575689500,,,
