Session,Event-ID-VP1,Event-ID-VP2,Bedingung,Block,Runde im Block,Spieler 1,VP,Karte1 VP1,Karte2 VP1,Karte1 VP2,Karte2 VP2,Aktion,Zeit,time_utc_ns,event_timestamp_unix_ns,Gewinner,Punktestand VP1,Punktestand VP2
6,,,no_pay,0,1,VP1,,11,8,8,9,Session,14:51:04.447,1765378264447121900,1765378264447121900,,,
6,f694fa70-7dfd-44fb-8193-563a2a1c6dfb,,no_pay,0,1,VP1,VP1,11,8,8,9,Start,14:51:09.644,1765378269644549500,1765378269644549500,,,
6,,68bb376d-072a-4754-a3aa-4a6253f36db0,no_pay,0,1,VP1,VP2,11,8,8,9,Start,14:51:10.207,1765378270207805700,1765378270207805700,,,
6,,,no_pay,0,1,VP1,,11,8,8,9,Fixation Flash,14:51:15.273,1765378275273730800,1765378275273730800,,,
6,,,no_pay,0,1,VP1,,11,8,8,9,Fixation Ton,14:51:15.484,1765378275484111900,1765378275484111900,,,
6,8d2e11c9-3bab-404e-a592-5f1a632fb20e,,no_pay,0,1,VP1,VP1,11,8,8,9,Start,14:51:29.741,1765378289741913700,1765378289741913700,,,
6,,45741fa6-6898-47e6-99c1-6bc4e8e6be57,no_pay,0,1,VP1,VP2,11,8,8,9,Start,14:51:31.252,1765378291252128800,1765378291252128800,,,
6,d8e693ba-cdc8-4570-a30e-27c84ff4c2ca,,no_pay,0,1,VP1,VP1,11,8,8,9,Karte 1,14:51:33.194,1765378293194406300,1765378293194406300,,,
6,,0984f6aa-ea3b-42a7-bdc9-6ddaa55c57e4,no_pay,0,1,VP1,VP2,11,8,8,9,Karte 1,14:51:34.595,1765378294595691400,1765378294595691400,,,
6,b7d7cf62-3615-408b-8c03-862a77b4437c,,no_pay,0,1,VP1,VP1,11,8,8,9,Karte 2,14:51:36.069,1765378296069361500,1765378296069361500,,,
6,,4ac0aa3b-5e09-479f-a34f-2ffec75f7d2e,no_pay,0,1,VP1,VP2,11,8,8,9,Karte 2,14:51:37.095,1765378297095014800,1765378297095014800,,,
6,d84ed5f0-aba7-4db4-9f89-21f1aa6a5f70,,no_pay,0,1,VP1,VP1,11,8,8,9,Hoch,14:51:40.181,1765378300181261400,1765378300181261400,,,
6,,7a9265be-b491-4ad7-b756-1f7e863c1333,no_pay,0,1,VP1,VP2,11,8,8,9,Wahrheit,14:51:45.157,1765378305157405200,1765378305157405200,,,
6,,,no_pay,0,1,VP1,,11,8,8,9,Showdown,14:51:45.354,1765378305354372800,1765378305354372800,VP1,,
6,4a7251a4-2dd2-45b4-bae6-b58868044a92,,no_pay,0,1,VP1,VP1,11,8,8,9,Nächste Runde,14:51:50.503,1765378310503968300,1765378310503968300,,,
6,,e2d8cb8c-05b9-4ee0-bde0-900f84f471d2,no_pay,0,1,VP1,VP2,11,8,8,9,Nächste Runde,14:52:39.371,1765378359371032800,1765378359371032800,,,
6,,88d3e951-eff3-4ec6-b44b-b1aa5664cdb6,no_pay,0,2,VP2,VP2,9,7,11,10,Karte 1,14:52:41.501,1765378361501159100,1765378361501159100,,,
6,62720180-9dd3-407d-9da6-f86853bcc43a,,no_pay,0,2,VP2,VP1,9,7,11,10,Karte 1,14:52:42.683,1765378362683852000,1765378362683852000,,,
6,,77335e24-3781-4d41-98fa-77594099652a,no_pay,0,2,VP2,VP2,9,7,11,10,Karte 2,14:52:45.023,1765378365023896500,1765378365023896500,,,
6,0176acc0-c067-49e6-be4d-8db9e53b5f9c,,no_pay,0,2,VP2,VP1,9,7,11,10,Karte 2,14:52:47.177,1765378367177587000,1765378367177587000,,,
6,,075a47e6-8f4c-4d14-a258-0f902c077e71,no_pay,0,2,VP2,VP2,9,7,11,10,Hoch,14:52:49.520,1765378369520742700,1765378369520742700,,,
6,af4c2f0f-b8fc-45f1-9dd4-c4c2ffaa18c1,,no_pay,0,2,VP2,VP1,9,7,11,10,Bluff,14:52:51.941,1765378371941354900,1765378371941354900,,,
6,,,no_pay,0,2,VP2,,9,7,11,10,Showdown,14:52:52.147,1765378372147820600,1765378372147820600,VP1,,
6,,529cd766-f2dc-4af0-bb9a-5b5ce08ab287,no_pay,0,2,VP2,VP2,9,7,11,10,Nächste Runde,14:53:05.297,1765378385297716200,1765378385297716200,,,
6,dd754ca2-4dc2-4b6c-9a7c-d8a4a1332967,,no_pay,0,2,VP2,VP1,9,7,11,10,Nächste Runde,14:53:05.482,1765378385482323600,1765378385482323600,,,
6,5c903cce-72c3-4f83-9612-cd04352b554e,,no_pay,0,3,VP1,VP1,10,11,8,7,Karte 1,14:53:09.589,1765378389589933600,1765378389589933600,,,
6,,e48c0bc2-9bd9-4753-9c0f-cdecadaa36f1,no_pay,0,3,VP1,VP2,10,11,8,7,Karte 1,14:53:11.036,1765378391036920000,1765378391036920000,,,
6,e4ec4529-b1bf-4c99-a979-2ed3e3d44983,,no_pay,0,3,VP1,VP1,10,11,8,7,Karte 2,14:53:12.153,1765378392153052400,1765378392153052400,,,
6,,42ebc54b-137d-438a-a564-bce9bd9c6e39,no_pay,0,3,VP1,VP2,10,11,8,7,Karte 2,14:53:13.389,1765378393389721900,1765378393389721900,,,
6,0ba9e0b4-74e0-4ee7-84ba-a6c9c005b0c5,,no_pay,0,3,VP1,VP1,10,11,8,7,Hoch,14:53:19.831,1765378399831816600,1765378399831816600,,,
6,,5128944d-5317-434a-b7a9-536eba1f9079,no_pay,0,3,VP1,VP2,10,11,8,7,Bluff,14:53:21.218,1765378401218650600,1765378401218650600,,,
6,,,no_pay,0,3,VP1,,10,11,8,7,Showdown,14:53:21.419,1765378401419970400,1765378401419970400,VP2,,
6,932f1db9-20bc-4cbc-8ead-1736aeacd159,,no_pay,0,3,VP1,VP1,10,11,8,7,Nächste Runde,14:53:24.378,1765378404378218700,1765378404378218700,,,
6,,d3f874e2-4526-4b16-bbbc-c3d3ad385ac8,no_pay,0,3,VP1,VP2,10,11,8,7,Nächste Runde,14:53:25.087,1765378405087140500,1765378405087140500,,,
6,,795da11d-112a-4c83-9343-cf0eaf939ea9,no_pay,0,4,VP2,VP2,7,7,8,10,Karte 1,14:53:27.062,1765378407062716300,1765378407062716300,,,
6,4bf560c7-d595-4b56-8eb1-f5ebcd658664,,no_pay,0,4,VP2,VP1,7,7,8,10,Karte 1,14:53:27.998,1765378407998846000,1765378407998846000,,,
6,,b844ce4c-8e5b-4e2c-9d25-407129f5334a,no_pay,0,4,VP2,VP2,7,7,8,10,Karte 2,14:53:29.240,1765378409240022700,1765378409240022700,,,
6,b2ecfcfe-6e4c-4732-bee2-99218bbc02d9,,no_pay,0,4,VP2,VP1,7,7,8,10,Karte 2,14:53:30.451,1765378410451614100,1765378410451614100,,,
6,,c5704111-1115-4c85-ba2a-18adef0f1354,no_pay,0,4,VP2,VP2,7,7,8,10,Mittel,14:54:35.036,1765378475036069700,1765378475036069700,,,
6,457a9e15-01ec-440c-b09a-43415ecdbb99,,no_pay,0,4,VP2,VP1,7,7,8,10,Wahrheit,14:54:38.766,1765378478766203000,1765378478766203000,,,
6,,,no_pay,0,4,VP2,,7,7,8,10,Showdown,14:54:39.029,1765378479029760800,1765378479029760800,VP2,,
6,7868a4e8-c71e-4804-8fbf-7f4a6ab1cb34,,no_pay,0,4,VP2,VP1,7,7,8,10,Nächste Runde,14:54:41.763,1765378481763764300,1765378481763764300,,,
6,,e8da86c9-9089-48c4-9a0d-c147c5ebf6e7,no_pay,0,4,VP2,VP2,7,7,8,10,Nächste Runde,14:54:43.418,1765378483418849800,1765378483418849800,,,
6,e13c6399-6955-4833-8b14-9f053a2b98bc,,no_pay,0,5,VP1,VP1,10,8,9,7,Karte 1,14:54:45.006,1765378485006562600,1765378485006562600,,,
6,,56f620a7-a68f-4a97-a5ae-fab8252779c5,no_pay,0,5,VP1,VP2,10,8,9,7,Karte 1,14:54:46.245,1765378486245204900,1765378486245204900,,,
6,0d6ee466-8fc7-499b-b161-76774885035e,,no_pay,0,5,VP1,VP1,10,8,9,7,Karte 2,14:54:47.252,1765378487252888300,1765378487252888300,,,
6,,b4e2f712-a7fc-4915-b141-362b2637bd2e,no_pay,0,5,VP1,VP2,10,8,9,7,Karte 2,14:54:48.209,1765378488209407300,1765378488209407300,,,
6,30172da3-3828-4c8f-b515-b232d12fdeb7,,no_pay,0,5,VP1,VP1,10,8,9,7,Mittel,14:54:56.072,1765378496072646500,1765378496072646500,,,
6,,3b9425d6-8c7c-4200-8fc5-2a0be9ab5aac,no_pay,0,5,VP1,VP2,10,8,9,7,Wahrheit,14:55:00.898,1765378500898764600,1765378500898764600,,,
6,,,no_pay,0,5,VP1,,10,8,9,7,Showdown,14:55:01.098,1765378501098806200,1765378501098806200,VP1,,
6,f62c1485-2e80-4a1e-8be9-4261a7302b2f,,no_pay,0,5,VP1,VP1,10,8,9,7,Nächste Runde,14:55:04.330,1765378504330992100,1765378504330992100,,,
6,,d7455911-fb53-45ac-9a53-c1975df42751,no_pay,0,5,VP1,VP2,10,8,9,7,Nächste Runde,14:55:06.269,1765378506269343600,1765378506269343600,,,
6,,f130065a-2fce-491f-a7a1-58ffbb6a4501,no_pay,0,6,VP2,VP2,7,10,9,10,Karte 1,14:55:08.041,1765378508041986600,1765378508041986600,,,
6,c77e842e-5dcd-474b-8ec1-bb618b97dd66,,no_pay,0,6,VP2,VP1,7,10,9,10,Karte 1,14:55:08.808,1765378508808822500,1765378508808822500,,,
6,,c01898a8-c704-472f-a10a-2478e2d37906,no_pay,0,6,VP2,VP2,7,10,9,10,Karte 2,14:55:09.817,1765378509817087000,1765378509817087000,,,
6,6a8f4138-e780-4cb6-b06f-59739ee8a8b6,,no_pay,0,6,VP2,VP1,7,10,9,10,Karte 2,14:55:10.245,1765378510245413600,1765378510245413600,,,
6,,5900c20a-32c5-44ac-9315-088f27878943,no_pay,0,6,VP2,VP2,7,10,9,10,Hoch,14:55:13.621,1765378513621146600,1765378513621146600,,,
6,bd89ed64-5606-406d-8ae3-d123c65aed15,,no_pay,0,6,VP2,VP1,7,10,9,10,Wahrheit,14:55:17.321,1765378517321104000,1765378517321104000,,,
6,,,no_pay,0,6,VP2,,7,10,9,10,Showdown,14:55:17.521,1765378517521713400,1765378517521713400,VP2,,
6,b24958dd-afb2-411e-a593-abe04b247fd8,,no_pay,0,6,VP2,VP1,7,10,9,10,Nächste Runde,14:55:28.280,1765378528280569000,1765378528280569000,,,
6,,ab797d25-ef96-4388-a9b6-4af23e8b68c4,no_pay,0,6,VP2,VP2,7,10,9,10,Nächste Runde,14:55:41.510,1765378541510679100,1765378541510679100,,,
6,,b35fa8c1-f3b1-4bb7-b302-e8f8619629ec,no_pay,1,1,VP1,VP2,,,,,Start,15:01:38.937,1765378898937093200,1765378898937093200,,,
6,7f4a3d09-4492-4183-b3ab-9ce0dfd044cc,,no_pay,1,1,VP1,VP1,,,,,Start,15:01:39.058,1765378899058767700,1765378899058767700,,,
6,,,no_pay,1,1,VP1,,8,8,7,11,Fixation Flash,15:01:44.107,1765378904107510400,1765378904107510400,,,
6,,,no_pay,1,1,VP1,,8,8,7,11,Fixation Ton,15:01:44.556,1765378904556878900,1765378904556878900,,,
6,,62ba9cab-47b3-47c1-97f8-f711035a219f,no_pay,1,1,VP1,VP2,8,8,7,11,Start,15:02:09.615,1765378929615672100,1765378929615672100,,,
6,a78462f1-db99-4325-a54c-e5f7121f4bcb,,no_pay,1,1,VP1,VP1,8,8,7,11,Start,15:02:11.746,1765378931746746200,1765378931746746200,,,
6,fdc7c598-52f7-40d6-9617-80b45f4f3b14,,no_pay,1,1,VP1,VP1,8,8,7,11,Karte 1,15:02:14.033,1765378934033352100,1765378934033352100,,,
6,,87bd1803-7756-4ee4-952e-fedcf6a93ffc,no_pay,1,1,VP1,VP2,8,8,7,11,Karte 1,15:02:15.663,1765378935663377800,1765378935663377800,,,
6,c616515a-aeb5-4d77-a6e2-69f7d874886c,,no_pay,1,1,VP1,VP1,8,8,7,11,Karte 2,15:02:17.085,1765378937085114700,1765378937085114700,,,
6,,7863245f-c3da-4785-82b6-6239d9fdcde3,no_pay,1,1,VP1,VP2,8,8,7,11,Karte 2,15:02:17.979,1765378937979639200,1765378937979639200,,,
6,50812a82-9a9f-4265-83e6-52d0d701509b,,no_pay,1,1,VP1,VP1,8,8,7,11,Tief,15:02:25.943,1765378945943501200,1765378945943501200,,,
6,,a7f6b364-f498-446c-8273-5570442d95fd,no_pay,1,1,VP1,VP2,8,8,7,11,Bluff,15:02:47.816,1765378967816690400,1765378967816690400,,,
6,,,no_pay,1,1,VP1,,8,8,7,11,Showdown,15:02:48.020,1765378968020081700,1765378968020081700,VP1,,
6,c7e43997-892d-4394-b60b-2ecb791dd2dd,,no_pay,1,1,VP1,VP1,8,8,7,11,Nächste Runde,15:02:50.759,1765378970759793300,1765378970759793300,,,
6,,5f92452c-066d-421e-8937-7eb5fc34dfb8,no_pay,1,1,VP1,VP2,8,8,7,11,Nächste Runde,15:03:08.675,1765378988675137900,1765378988675137900,,,
6,,603c33c4-dc1a-4b4f-9167-0952f455d6d3,no_pay,1,2,VP2,VP2,8,7,8,8,Karte 1,15:03:10.932,1765378990932216300,1765378990932216300,,,
6,ddaef2fc-eb63-4eda-8964-409529a0b99e,,no_pay,1,2,VP2,VP1,8,7,8,8,Karte 1,15:03:11.942,1765378991942079300,1765378991942079300,,,
6,,90c7e9b5-2706-4a49-8f82-7042dc96cd5b,no_pay,1,2,VP2,VP2,8,7,8,8,Karte 2,15:03:13.060,1765378993060628500,1765378993060628500,,,
6,98de66d8-cd37-4648-ad52-8f8d6e8792d6,,no_pay,1,2,VP2,VP1,8,7,8,8,Karte 2,15:03:14.165,1765378994165686000,1765378994165686000,,,
6,,6d29bc4b-bf71-4c6c-baf8-a2927e52694d,no_pay,1,2,VP2,VP2,8,7,8,8,Tief,15:03:16.788,1765378996788546500,1765378996788546500,,,
6,478eea37-4b7b-4eb6-8b90-e323ef22c7ee,,no_pay,1,2,VP2,VP1,8,7,8,8,Bluff,15:03:32.880,1765379012880296400,1765379012880296400,,,
6,,,no_pay,1,2,VP2,,8,7,8,8,Showdown,15:03:33.087,1765379013087477800,1765379013087477800,VP2,,
6,,d55982ab-fa38-47bd-80dd-bc930f62b947,no_pay,1,2,VP2,VP2,8,7,8,8,Nächste Runde,15:03:36.135,1765379016135961300,1765379016135961300,,,
6,a559d09a-9ab5-4d1d-bece-3e474992f72a,,no_pay,1,2,VP2,VP1,8,7,8,8,Nächste Runde,15:03:37.367,1765379017367153500,1765379017367153500,,,
6,b0f4344f-803e-4f10-9493-03a8c7cbb937,,no_pay,1,3,VP1,VP1,10,10,11,10,Karte 1,15:03:38.395,1765379018395525500,1765379018395525500,,,
6,,a5adca6e-4dd1-453c-96e5-23b9ff760db4,no_pay,1,3,VP1,VP2,10,10,11,10,Karte 1,15:03:41.064,1765379021064834100,1765379021064834100,,,
6,f83aae0a-ef8d-471f-9c96-c0d650d7da83,,no_pay,1,3,VP1,VP1,10,10,11,10,Karte 2,15:03:41.673,1765379021673648000,1765379021673648000,,,
6,,333258d5-a918-4817-a841-b5083d5229d0,no_pay,1,3,VP1,VP2,10,10,11,10,Karte 2,15:03:42.554,1765379022554549000,1765379022554549000,,,
6,36a2010d-1fa9-40d2-92d8-75c6a38a07f7,,no_pay,1,3,VP1,VP1,10,10,11,10,Hoch,15:03:44.677,1765379024677184500,1765379024677184500,,,
6,,61c49c17-8edf-4be6-9975-c96f130f2bba,no_pay,1,3,VP1,VP2,10,10,11,10,Bluff,15:03:47.742,1765379027742091800,1765379027742091800,,,
6,,,no_pay,1,3,VP1,,10,10,11,10,Showdown,15:03:47.947,1765379027947956600,1765379027947956600,VP2,,
6,5a0763f3-11f0-45b2-8d9a-59919439af9d,,no_pay,1,3,VP1,VP1,10,10,11,10,Nächste Runde,15:03:51.162,1765379031162058900,1765379031162058900,,,
6,,59be55ea-495d-46b5-8bb5-eb5c1b2edc6f,no_pay,1,3,VP1,VP2,10,10,11,10,Nächste Runde,15:03:52.672,1765379032672351300,1765379032672351300,,,
6,,f5ac343c-9db3-4927-9fe9-f7602e3674a1,no_pay,1,4,VP2,VP2,10,7,8,10,Karte 1,15:03:54.265,1765379034265574700,1765379034265574700,,,
6,64f76591-0c1e-4639-b9a4-b9ac835cc99a,,no_pay,1,4,VP2,VP1,10,7,8,10,Karte 1,15:03:55.245,1765379035245002100,1765379035245002100,,,
6,,91e3b913-e7dc-4b22-b358-eee0720721eb,no_pay,1,4,VP2,VP2,10,7,8,10,Karte 2,15:03:56.324,1765379036324587200,1765379036324587200,,,
6,005f81a2-1bd9-455b-83d8-8a0cf0051f81,,no_pay,1,4,VP2,VP1,10,7,8,10,Karte 2,15:03:56.973,1765379036973002600,1765379036973002600,,,
6,,330ed7c0-0b2f-41ce-8d40-3ed526a4a5d5,no_pay,1,4,VP2,VP2,10,7,8,10,Mittel,15:04:01.809,1765379041809600100,1765379041809600100,,,
