Session,Event-ID-VP1,Event-ID-VP2,Bedingung,Block,Runde im Block,Spieler 1,VP,Karte1 VP1,Karte2 VP1,Karte1 VP2,Karte2 VP2,Aktion,Zeit,time_utc_ns,event_timestamp_unix_ns,Gewinner,Punktestand VP1,Punktestand VP2
2,,,no_pay,0,1,VP1,,11,8,8,9,Session,13:17:41.898,1764940661898704600,1764940661898704600,,,
2,2bb3c0e7-af5d-45ca-9d79-9c021fbf4e86,,no_pay,0,1,VP1,VP1,11,8,8,9,Start,13:17:45.018,1764940665018304000,1764940665018304000,,,
2,,f6e94b8e-b5d3-4c80-a416-cf9af28fcabc,no_pay,0,1,VP1,VP2,11,8,8,9,Start,13:17:45.356,1764940665356874100,1764940665356874100,,,
2,,,no_pay,0,1,VP1,,11,8,8,9,Fixation Flash,13:17:50.415,1764940670415349400,1764940670415349400,,,
2,,,no_pay,0,1,VP1,,11,8,8,9,Fixation Ton,13:17:50.674,1764940670674175800,1764940670674175800,,,
2,26389d4b-66a6-4829-b235-5be4d117466f,,no_pay,0,1,VP1,VP1,11,8,8,9,Start,13:18:44.467,1764940724467047000,1764940724467047000,,,
2,,624fa5d8-1a17-494f-9535-2089612f8646,no_pay,0,1,VP1,VP2,11,8,8,9,Start,13:18:45.251,1764940725251133300,1764940725251133300,,,
2,974d923c-efc0-4bc7-b0a4-be24acd1511b,,no_pay,0,1,VP1,VP1,11,8,8,9,Karte 1,13:18:47.368,1764940727368768300,1764940727368768300,,,
2,,e1837d01-bcba-4675-b42c-7e6a7c9a9f4e,no_pay,0,1,VP1,VP2,11,8,8,9,Karte 1,13:18:48.548,1764940728548841700,1764940728548841700,,,
2,c892a68b-d7f5-45a5-9fde-08f85f464f8c,,no_pay,0,1,VP1,VP1,11,8,8,9,Karte 2,13:18:49.851,1764940729851239900,1764940729851239900,,,
2,,e6b5970a-2298-42d3-b2c6-e82f65f66ec4,no_pay,0,1,VP1,VP2,11,8,8,9,Karte 2,13:18:50.578,1764940730578242600,1764940730578242600,,,
2,32ff2054-c7f1-43ad-8533-62369b644d3f,,no_pay,0,1,VP1,VP1,11,8,8,9,Hoch,13:18:57.077,1764940737077664300,1764940737077664300,,,
2,,288c68b6-f662-4a90-ac2a-1746e69ea7dc,no_pay,0,1,VP1,VP2,11,8,8,9,Wahrheit,13:19:01.791,1764940741791700500,1764940741791700500,,,
2,,,no_pay,0,1,VP1,,11,8,8,9,Showdown,13:19:02.023,1764940742023474900,1764940742023474900,VP1,,
2,ed6595e3-88ae-4854-b80d-31073bd2e54b,,no_pay,0,1,VP1,VP1,11,8,8,9,Nächste Runde,13:19:16.106,1764940756106581100,1764940756106581100,,,
2,,b8f39974-2a13-4884-8a75-f6681bd59eab,no_pay,0,1,VP1,VP2,11,8,8,9,Nächste Runde,13:19:17.338,1764940757338361800,1764940757338361800,,,
2,,07541f8d-eed4-484b-b647-133d51783c24,no_pay,0,2,VP2,VP2,9,7,11,10,Karte 1,13:19:20.460,1764940760460326500,1764940760460326500,,,
2,46545cd6-a82c-4d58-900a-d2a0f531276b,,no_pay,0,2,VP2,VP1,9,7,11,10,Karte 1,13:19:21.654,1764940761654121400,1764940761654121400,,,
2,,c74f731a-5181-4645-8928-c7ba435d190f,no_pay,0,2,VP2,VP2,9,7,11,10,Karte 2,13:19:22.877,1764940762877333300,1764940762877333300,,,
2,d9076c5c-e7a9-469b-84a3-fee6d77dee75,,no_pay,0,2,VP2,VP1,9,7,11,10,Karte 2,13:19:24.105,1764940764105103600,1764940764105103600,,,
2,,dab9b00a-9538-4f50-9e5f-665af06b91cc,no_pay,0,2,VP2,VP2,9,7,11,10,Mittel,13:19:27.983,1764940767983485700,1764940767983485700,,,
2,dfd45d54-2035-4341-8a18-600de8cb3d54,,no_pay,0,2,VP2,VP1,9,7,11,10,Bluff,13:19:30.971,1764940770971104900,1764940770971104900,,,
2,,,no_pay,0,2,VP2,,9,7,11,10,Showdown,13:19:31.174,1764940771174672000,1764940771174672000,VP1,,
2,,77f94237-400b-46b9-b4b6-11c2a6f66018,no_pay,0,2,VP2,VP2,9,7,11,10,Nächste Runde,13:19:34.977,1764940774977405800,1764940774977405800,,,
2,698b9d71-2c95-406f-8d7f-f3bd9a67bc7b,,no_pay,0,2,VP2,VP1,9,7,11,10,Nächste Runde,13:19:35.500,1764940775500968900,1764940775500968900,,,
2,11233875-45c5-4b77-8808-ef68b30ad61b,,no_pay,0,3,VP1,VP1,10,11,8,7,Karte 1,13:19:36.810,1764940776810839700,1764940776810839700,,,
2,,3266602a-c376-4181-8a6d-80587e928c57,no_pay,0,3,VP1,VP2,10,11,8,7,Karte 1,13:19:37.684,1764940777684513300,1764940777684513300,,,
2,ddd786cf-25d6-4e3c-9cf0-661046012852,,no_pay,0,3,VP1,VP1,10,11,8,7,Karte 2,13:19:38.309,1764940778309834100,1764940778309834100,,,
2,,5581cc94-26b5-4dee-9af0-b783739b16d3,no_pay,0,3,VP1,VP2,10,11,8,7,Karte 2,13:19:39.164,1764940779164063800,1764940779164063800,,,
2,5b5b4183-ce84-4336-806c-75c033cf469c,,no_pay,0,3,VP1,VP1,10,11,8,7,Tief,13:19:40.756,1764940780756848900,1764940780756848900,,,
